Time,Quadrant Number,Ball Colour,Type
92.06671111111112,4,orange,Exit
92.06671111111112,2,orange,Entry
92.19986666666667,2,white,Exit
92.19986666666667,4,white,Entry
92.23315555555556,4,orange,Exit
92.23315555555556,2,orange,Entry
92.63262222222222,2,orange,Exit
92.63262222222222,4,orange,Entry
92.66591111111111,4,orange,Exit
92.66591111111111,2,orange,Entry
92.76577777777779,2,white,Exit
92.76577777777779,4,white,Entry
92.79906666666668,4,orange,Exit
92.79906666666668,2,orange,Entry
92.96541111111111,2,orange,Exit
92.96541111111111,4,orange,Entry
92.99872222222223,4,orange,Exit
92.99872222222223,2,orange,Entry
93.13176666666668,2,orange,Exit
93.13176666666668,4,orange,Entry
93.19847777777778,4,orange,Exit
93.19847777777778,2,orange,Entry
94.36343333333333,2,orange,Exit
94.36343333333333,3,orange,Entry
94.39672222222222,3,orange,Exit
94.39672222222222,4,orange,Entry
94.4965888888889,4,orange,Exit
94.4965888888889,2,orange,Entry
94.52987777777778,2,orange,Exit
94.52987777777778,4,orange,Entry
94.59645555555556,4,orange,Exit
94.59645555555556,2,orange,Entry
94.66303333333333,2,orange,Exit
94.66303333333333,4,orange,Entry
94.69632222222222,4,orange,Exit
94.69632222222222,2,orange,Entry
96.29396666666668,2,orange,Exit
96.29396666666668,4,orange,Entry
96.32725555555557,4,orange,Exit
96.32725555555557,2,orange,Entry
96.39383333333333,2,orange,Exit
96.39383333333333,4,orange,Entry
96.42712222222222,4,orange,Exit
96.42712222222222,2,orange,Entry
96.56027777777778,2,white,Exit
96.56027777777778,4,white,Entry
96.59356666666667,4,orange,Exit
96.59356666666667,2,orange,Entry
96.72672222222222,2,orange,Exit
96.72672222222222,4,orange,Entry
96.79310000000001,4,orange,Exit
96.79310000000001,2,orange,Entry
96.89304444444446,2,white,Exit
96.89304444444446,4,white,Entry
96.92632222222223,4,orange,Exit
96.92632222222223,2,orange,Entry
96.95960000000001,2,white,Exit
96.95960000000001,4,white,Entry
97.1259888888889,4,orange,Exit
97.1259888888889,2,orange,Entry
97.15941111111111,2,white,Exit
97.15941111111111,4,white,Entry
97.29254444444445,4,orange,Exit
97.29254444444445,2,orange,Entry
97.42567777777778,2,white,Exit
97.42567777777778,4,white,Entry
97.4588888888889,4,orange,Exit
97.4588888888889,2,orange,Entry
97.59202222222223,2,white,Exit
97.59202222222223,4,white,Entry
97.6586,4,orange,Exit
97.6586,2,orange,Entry
97.72517777777779,2,white,Exit
97.72517777777779,4,white,Entry
97.79173333333334,4,orange,Exit
97.79173333333334,2,orange,Entry
97.82507777777778,2,orange,Exit
97.82507777777778,4,orange,Entry
97.85831111111112,4,orange,Exit
97.85831111111112,2,orange,Entry
98.09132222222223,2,orange,Exit
98.09132222222223,4,orange,Entry
98.1246,4,orange,Exit
98.1246,2,orange,Entry
98.52393333333333,2,orange,Exit
98.52393333333333,4,orange,Entry
98.55721111111112,4,orange,Exit
98.55721111111112,2,orange,Entry
98.5904888888889,2,orange,Exit
98.5904888888889,4,orange,Entry
98.69041111111112,4,orange,Exit
98.69041111111112,2,orange,Entry
98.7903,2,orange,Exit
98.7903,4,orange,Entry
99.35613333333333,4,orange,Exit
99.35613333333333,2,orange,Entry
99.5892,2,yellow,Exit
99.5892,4,yellow,Entry
